,地點,一月,二月,三月,四月,五月,六月,七月,八月,九月,十月,十一月,十二月,平均,統計期間
0,淡水,18.8,19.3,21.6,25.4,28.8,31.3,33.3,33.1,30.9,27.1,24.4,20.6,26.2,1991~2020
1,鞍部,13.3,14.6,17.1,20.5,23.2,25.6,27.4,26.8,24.3,20.5,18.1,14.6,20.5,1991~2020
2,臺北,19.6,20.7,22.9,26.7,30.1,32.9,35.0,34.4,31.6,27.8,24.9,21.1,27.3,1991~2020
3,竹子湖,15.4,16.6,19.1,22.5,25.4,27.8,29.7,29.3,26.8,22.9,20.3,16.7,22.7,1991~2020
4,基隆,18.4,19.1,21.0,24.7,28.0,31.2,33.3,32.5,29.8,26.1,23.6,20.1,25.7,1991~2020
5,彭佳嶼,17.9,18.5,20.3,23.4,26.4,29.3,31.3,31.1,29.0,25.9,23.1,19.6,24.7,1991~2020
6,花蓮,21.4,21.9,23.6,26.2,28.7,30.9,32.4,32.2,30.7,28.3,25.8,22.8,27.1,1991~2020
7,蘇澳,19.3,19.9,22.0,24.9,27.6,30.4,31.8,31.5,29.7,26.5,23.8,20.6,25.7,1991~2020
8,宜蘭,19.7,20.4,22.7,25.7,28.5,31.4,33.2,32.8,30.6,27.1,24.2,20.9,26.4,1991~2020
9,東吉島,20.0,20.6,23.2,26.1,28.5,29.9,31.0,30.8,30.0,27.7,25.1,21.7,26.2,1991~2020
10,澎湖,19.4,20.0,22.9,26.3,29.1,30.9,32.2,31.8,31.0,28.2,25.1,21.3,26.5,1991~2020
11,臺南,22.9,24.0,26.5,29.3,31.4,32.4,33.1,32.6,32.5,30.8,28.1,24.4,29.0,1991~2020
12,高雄,24.2,25.0,27.0,29.3,31.0,32.1,32.7,32.1,31.8,30.1,28.1,25.3,29.1,1991~2020
13,嘉義,22.5,23.0,25.4,28.4,30.9,32.8,33.4,32.8,32.1,30.1,27.6,24.3,28.6,1991~2020
14,臺中,22.3,22.9,25.2,28.1,30.7,32.3,33.3,32.7,32.2,30.3,27.6,23.9,28.5,1991~2020
15,阿里山,11.0,11.7,13.9,15.7,17.2,18.4,19.3,18.8,18.5,17.4,15.6,12.6,15.8,1991~2020
16,大武,23.7,24.4,26.2,28.7,30.7,32.6,32.8,32.3,31.2,29.4,27.4,24.6,28.7,1991~2020
17,玉山,4.6,4.5,6.4,8.7,11.2,12.9,14.4,14.0,14.0,13.9,10.6,6.7,10.2,1991~2020
18,新竹,19.1,19.4,21.6,25.6,28.9,31.5,33.2,32.8,31.2,28.0,25.1,21.1,26.5,1992~2020
19,恆春,24.4,25.5,27.3,29.5,31.2,31.8,32.1,31.8,31.3,29.7,27.8,25.1,29.0,1991~2020
20,成功,22.4,22.9,24.3,26.7,29.0,30.7,31.8,31.6,30.7,28.8,26.4,23.5,27.4,1991~2020
21,蘭嶼,20.8,21.4,22.9,24.8,26.7,28.0,28.6,28.5,27.7,25.9,23.9,21.5,25.1,1991~2020
22,日月潭,19.4,20.3,22.1,24.2,26.0,27.2,28.3,27.8,27.2,25.6,23.6,20.5,24.4,1991~2020
23,臺東,23.2,23.8,25.4,27.8,30.0,31.8,32.6,32.2,31.3,29.4,27.1,24.3,28.2,1991~2020
24,梧棲,19.2,19.6,22.3,26.0,28.9,31.1,32.2,31.9,30.8,28.0,25.1,21.2,26.4,1991~2020
