,地點,一月,二月,三月,四月,五月,六月,七月,八月,九月,十月,十一月,十二月,平均,統計期間
0,上海,0.5,1.5,5.1,10.6,15.7,20.3,24.8,24.7,20.5,14.7,8.6,2.4,12.5,1961~1990
1,北京,-9.4,-6.9,-0.6,7.2,13.2,18.2,21.6,20.4,14.2,7.3,-0.4,-6.9,6.5,1961~1990
2,西安,-4.2,-1.8,3.2,8.9,13.8,18.8,21.6,20.8,15.5,9.8,2.8,-2.9,8.9,1961~1990
3,昆明,1.5,2.9,5.5,9.1,13.9,16.3,16.8,15.9,14.2,11.5,6.9,2.5,9.8,1961~1990
4,杭州,1.0,2.0,6.0,11.8,16.8,21.0,24.9,24.5,20.3,14.5,8.7,2.9,12.9,.
5,武漢,-0.5,1.4,6.1,12.2,17.7,21.8,25.2,24.6,19.4,13.4,7.2,1.5,12.5,1961~1990
6,青島,-3.7,-2.5,2.0,7.5,12.9,17.6,21.9,23.0,18.6,13.2,6.0,-0.8,9.6,1961~1990
7,南京,-1.6,0.0,4.4,10.3,15.7,20.4,24.6,24.2,19.1,12.6,6.1,-0.1,11.3,1961~1990
8,南昌,2.4,3.8,8.1,14.0,19.2,22.7,26.0,25.8,21.7,16.1,10.1,4.3,14.5,.
9,重慶,5.6,6.9,10.9,15.1,19.0,21.5,24.5,24.5,20.4,16.2,11.5,7.2,15.3,1961~1990
10,香港,14.5,15.0,17.2,20.8,24.1,26.2,26.8,26.6,25.8,23.7,19.8,15.9,21.4,1981~2010
11,海口,14.6,15.7,18.6,21.9,24.2,25.1,25.2,24.9,24.2,22.4,19.5,16.1,21.0,.
12,福州,7.7,7.9,10.3,14.8,19.2,22.6,25.3,25.0,22.9,19.0,14.6,9.7,16.6,.
13,廣州,9.8,11.3,14.9,19.1,22.7,24.5,25.3,25.2,23.8,20.5,15.7,11.1,18.7,1961~1990
14,瀋陽,-16.6,-13.1,-4.4,3.8,11.1,16.6,20.4,19.3,11.9,4.1,-4.2,-12.5,3.0,1961~1990
15,蘭州,-11.3,-7.2,-0.4,5.5,10.4,13.6,16.2,15.4,10.9,4.7,-2.6,-9.4,3.8,.
