,地點,一月,二月,三月,四月,五月,六月,七月,八月,九月,十月,十一月,十二月,合計,統計期間
0,上海,39.0,59.0,81.0,102.0,115.0,152.0,128.0,133.0,156.0,61.0,51.0,35.0,1112.0,1961~1990
1,北京,3.0,6.0,9.0,26.0,29.0,71.0,176.0,182.0,49.0,19.0,6.0,2.0,578.0,1961~1990
2,西安,6.0,11.0,26.0,50.0,65.0,51.0,93.0,67.0,108.0,66.0,26.0,6.0,575.0,1961~1990
3,昆明,11.7,12.4,16.2,26.8,91.9,173.2,204.8,205.9,121.6,88.6,40.1,13.5,1006.7,1961~1990
4,杭州,59.0,88.0,115.0,130.0,159.0,185.0,129.0,145.0,171.0,89.0,58.0,48.0,1376.0,.
5,武漢,34.0,57.0,92.0,134.0,151.0,212.0,151.0,132.0,84.0,89.0,58.0,28.0,1222.0,1961~1990
6,青島,10.5,12.4,21.0,36.4,50.9,82.7,177.1,156.0,90.2,46.5,26.6,9.7,720.0,1961~1990
7,南京,29.0,48.0,69.0,87.0,96.0,159.0,188.0,124.0,95.0,60.0,56.0,25.0,1036.0,1961~1990
8,南昌,56.0,102.0,151.0,224.0,253.0,282.0,122.0,103.0,75.0,58.0,55.0,41.0,1522.0,.
9,重慶,20.0,21.0,37.0,102.0,159.0,166.0,171.0,138.0,149.0,96.0,53.0,26.0,1138.0,1961~1990
10,香港,24.7,54.4,82.2,174.7,304.7,456.1,376.5,432.2,327.6,100.9,37.6,26.8,2398.4,1981~2010
11,海口,22.0,34.0,51.0,106.0,183.0,211.0,210.0,225.0,251.0,201.0,97.0,34.0,1625.0,.
12,福州,49.0,74.0,131.0,164.0,197.0,211.0,92.0,169.0,147.0,45.0,39.0,29.0,1347.0,.
13,廣州,43.0,65.0,85.0,182.0,284.0,258.0,228.0,221.0,172.0,79.0,42.0,24.0,1683.0,1961~1990
14,瀋陽,7.0,8.0,16.0,43.0,55.0,87.0,167.0,157.0,77.0,42.0,17.0,9.0,685.0,1961~1990
15,蘭州,1.0,2.0,9.0,19.0,38.0,37.0,57.0,76.0,46.0,24.0,5.0,1.0,315.0,.
