,地點,一月,二月,三月,四月,五月,六月,七月,八月,九月,十月,十一月,十二月,合計,統計期間
0,上海,7.7,8.6,12.7,18.6,23.5,27.2,31.6,31.5,27.2,22.3,16.7,10.6,19.9,1961~1990
1,北京,1.6,4.0,11.3,19.9,26.4,30.3,30.8,29.5,25.8,19.0,10.1,3.3,17.7,1961~1990
2,西安,4.8,7.7,14.0,20.4,25.8,31.6,32.0,31.1,24.7,19.3,12.1,6.1,19.1,1961~1990
3,昆明,15.1,17.1,20.4,23.5,24.6,23.8,23.9,23.9,22.5,20.3,17.3,15.0,20.6,1961~1990
4,杭州,8.0,9.0,13.7,20.2,25.1,28.4,33.1,32.6,27.4,22.4,16.9,10.8,20.6,.
5,武漢,8.1,9.6,14.6,21.0,26.2,29.8,32.9,32.7,27.8,22.7,16.4,10.5,21.0,1961~1990
6,青島,2.6,3.8,8.7,14.4,19.7,23.3,26.7,28.3,24.9,19.7,12.4,5.3,15.8,1961~1990
7,南京,7.0,8.4,13.5,20.1,25.3,29.0,32.0,32.2,27.2,22.1,15.9,9.7,20.2,1961~1990
8,南昌,8.9,9.8,14.8,21.0,26.1,29.3,33.8,33.6,28.9,23.6,17.5,11.7,21.6,.
9,重慶,9.5,11.6,16.8,22.2,25.9,28.1,32.2,32.8,26.5,21.3,15.7,10.9,21.1,1961~1990
10,香港,18.6,18.9,21.4,25.0,28.4,30.2,31.4,31.1,30.1,27.8,24.1,20.2,25.6,1981~2010
11,海口,20.8,22.0,25.7,29.5,32.0,32.6,33.1,32.1,30.6,28.3,25.1,22.1,27.8,.
12,福州,15.0,14.8,18.0,23.0,26.6,29.9,34.0,33.3,30.3,26.2,21.8,17.5,24.2,.
13,廣州,18.3,18.4,21.6,25.5,29.4,31.3,32.7,32.6,31.4,28.6,24.4,20.5,26.2,1961~1990
14,瀋陽,-5.2,-1.7,6.4,16.0,23.2,27.1,29.0,28.3,23.5,15.9,5.7,-2.2,13.8,1961~1990
15,蘭州,1.5,5.4,12.1,19.2,23.9,27.1,29.0,27.9,22.0,16.6,8.9,2.3,16.3,.
