,地點,一月,二月,三月,四月,五月,六月,七月,八月,九月,十月,十一月,十二月,平均,統計期間
0,上海,9.0,10.0,13.0,13.0,13.0,14.0,12.0,10.0,12.0,9.0,8.0,7.0,130.0,1961~1990
1,北京,2.0,3.0,4.0,5.0,6.0,9.0,14.0,12.0,7.0,5.0,3.0,2.0,72.0,1961~1990
2,西安,4.0,5.0,7.0,9.0,9.0,9.0,11.0,9.0,12.0,11.0,7.0,3.0,96.0,1961~1990
3,昆明,2.2,2.5,3.0,4.4,8.9,13.8,15.8,15.7,11.7,10.7,5.2,2.4,96.3,1961~1990
4,杭州,12.0,13.0,16.0,16.0,16.0,15.0,12.0,13.0,13.0,11.0,9.0,9.0,155.0,.
5,武漢,8.0,10.0,13.0,14.0,13.0,12.0,11.0,9.0,9.0,10.0,9.0,7.0,125.0,1961~1990
6,青島,1.9,2.1,2.8,4.6,4.9,6.0,9.9,8.0,5.7,4.2,3.2,2.2,55.5,1961~1990
7,南京,7.0,9.0,11.0,12.0,10.0,11.0,13.0,11.0,10.0,8.0,8.0,6.0,116.0,1961~1990
8,南昌,11.0,13.0,17.0,18.0,17.0,15.0,10.0,9.0,8.0,9.0,9.0,8.0,144.0,.
9,重慶,10.0,10.0,11.0,14.0,17.0,16.0,13.0,11.0,16.0,15.0,14.0,11.0,158.0,1961~1990
10,香港,5.4,9.1,10.9,12.0,14.7,19.1,17.6,16.9,14.7,7.4,5.5,4.5,137.8,1981~2010
11,海口,9.0,11.0,10.0,12.0,16.0,16.0,14.0,15.0,15.0,13.0,10.0,8.0,149.0,.
12,福州,10.0,14.0,17.0,18.0,19.0,16.0,10.0,12.0,13.0,7.0,7.0,8.0,151.0,.
13,廣州,8.0,11.0,15.0,16.0,18.0,19.0,16.0,16.0,13.0,7.0,6.0,5.0,150.0,1961~1990
14,瀋陽,4.0,4.0,5.0,7.0,9.0,12.0,14.0,12.0,8.0,7.0,5.0,4.0,91.0,1961~1990
15,蘭州,2.0,3.0,4.0,6.0,8.0,9.0,12.0,11.0,11.0,7.0,2.0,1.0,76.0,.
