,地點,一月,二月,三月,四月,五月,六月,七月,八月,九月,十月,十一月,十二月,平均,統計期間
0,淡水,6.9,6.7,7.4,7.3,7.1,6.8,5.5,5.7,6.1,6.5,6.7,7.2,6.7,1991~2020
1,鞍部,8.0,7.7,7.9,8.0,8.1,8.0,6.8,7.0,7.4,8.0,8.1,8.2,7.8,1991~2020
2,臺北,8.0,7.9,8.0,7.9,7.7,7.8,6.4,6.4,6.7,7.2,7.6,7.9,7.5,1991~2020
3,竹子湖,7.8,7.8,7.8,7.9,7.9,7.8,6.5,6.5,6.7,7.5,7.7,7.8,7.5,1991~2020
4,基隆,8.6,8.4,8.2,8.0,7.8,7.5,5.6,5.7,6.8,7.9,8.3,8.7,7.6,1991~2020
5,彭佳嶼,8.3,8.2,7.9,7.7,7.3,6.9,4.9,5.1,5.6,6.4,7.4,8.1,7.0,1991~2020
6,花蓮,8.5,8.5,8.4,8.2,7.8,6.6,4.9,5.3,6.6,7.4,7.8,8.4,7.4,1991~2020
7,蘇澳,8.4,8.4,8.1,8.0,7.7,7.0,5.1,5.4,6.6,7.8,8.2,8.5,7.4,1991~2020
8,宜蘭,8.3,8.3,8.1,8.1,7.9,7.2,5.4,5.7,6.8,7.9,8.2,8.5,7.5,1991~2020
9,東吉島,6.9,6.9,6.4,6.0,5.9,5.9,5.2,5.3,4.6,4.4,5.8,6.6,5.8,1991~2020
10,澎湖,7.3,7.3,6.9,6.6,6.4,6.3,5.4,5.7,5.3,5.5,6.5,7.0,6.4,1991~2020
11,臺南,4.8,5.2,5.3,5.4,5.7,5.8,5.5,6.1,5.2,4.2,4.6,4.8,5.2,1991~2020
12,高雄,4.5,4.5,4.8,5.0,5.5,5.6,5.5,5.9,5.3,4.6,4.6,4.8,5.1,1991~2020
13,嘉義,5.5,6.1,6.3,6.5,6.4,6.3,6.0,6.4,5.7,4.9,5.4,5.3,5.9,1991~2020
14,臺中,5.3,5.9,6.4,6.8,6.6,6.6,6.0,6.5,5.5,4.3,4.8,5.0,5.8,1991~2020
15,阿里山,5.2,5.9,6.0,6.8,7.2,7.4,6.9,6.9,6.5,5.4,5.0,5.1,6.2,1991~2020
16,大武,7.4,7.5,7.3,7.0,6.7,5.8,5.2,5.9,6.4,6.5,6.8,7.4,6.7,1991~2020
17,玉山,3.7,4.5,5.0,6.1,5.8,6.4,6.2,5.9,5.2,4.2,3.9,3.6,5.0,1991~2020
18,新竹,6.9,7.3,7.6,7.5,7.1,6.9,5.6,5.9,5.4,5.0,5.9,6.2,6.4,1992~2020
19,恆春,5.3,5.4,5.2,5.4,5.9,6.1,5.8,6.2,5.9,5.1,5.1,5.4,5.6,1991~2020
20,成功,8.2,8.3,8.3,8.2,7.6,6.4,5.4,5.7,6.5,6.7,7.4,8.0,7.2,1991~2020
21,蘭嶼,8.2,8.1,7.9,7.8,7.5,7.2,6.7,7.0,7.2,7.4,8.0,8.4,7.6,1991~2020
22,日月潭,5.7,6.1,6.8,7.5,7.8,7.8,7.3,7.5,7.0,6.0,5.6,5.6,6.7,1991~2020
23,臺東,8.0,8.1,8.1,7.8,7.4,6.2,5.3,5.9,6.7,6.8,7.2,7.8,7.1,1991~2020
24,梧棲,5.9,6.6,6.5,6.7,6.3,6.5,5.4,5.7,4.7,3.7,4.8,5.1,5.7,1991~2020
