,地點,一月,二月,三月,四月,五月,六月,七月,八月,九月,十月,十一月,十二月,平均,統計期間
0,淡水,12.7,13.0,14.7,18.3,21.6,24.2,25.7,25.5,23.8,20.9,18.3,14.6,19.4,1991~2020
1,鞍部,8.1,8.7,10.3,13.7,17.2,19.9,20.9,20.7,19.1,16.3,13.5,9.8,14.9,1991~2020
2,臺北,14.4,14.7,16.2,19.4,22.8,25.3,26.8,26.6,25.2,22.6,19.8,16.1,20.8,1991~2020
3,竹子湖,9.7,10.3,11.9,15.3,18.6,21.3,22.4,22.2,20.7,17.9,15.1,11.4,16.4,1991~2020
4,基隆,14.2,14.3,15.7,19.0,22.3,25.0,26.7,26.5,25.0,22.4,19.6,16.1,20.6,1991~2020
5,彭佳嶼,13.9,14.2,15.5,18.5,21.6,24.3,26.0,25.9,24.7,22.2,19.4,15.8,20.2,1991~2020
6,花蓮,15.8,16.2,17.6,20.1,22.5,24.7,25.6,25.4,24.2,22.2,19.9,17.2,21.0,1991~2020
7,蘇澳,14.3,14.7,16.3,19.1,22.0,24.6,26.0,25.7,24.3,21.8,19.0,15.8,20.3,1991~2020
8,宜蘭,14.0,14.4,16.0,18.8,21.7,24.3,25.6,25.4,24.0,21.3,18.7,15.5,20.0,1991~2020
9,東吉島,16.7,16.9,18.9,21.9,24.4,26.2,26.9,26.6,26.0,24.3,21.8,18.6,22.4,1991~2020
10,澎湖,15.5,15.6,17.8,21.1,24.0,25.9,26.7,26.6,26.1,24.0,21.3,17.7,21.9,1991~2020
11,臺南,14.5,15.5,18.0,21.7,24.7,26.3,26.7,26.3,26.0,23.3,20.3,16.3,21.6,1991~2020
12,高雄,16.2,17.2,19.7,22.8,25.2,26.3,26.7,26.3,25.9,24.4,21.6,17.9,22.5,1991~2020
13,嘉義,12.9,14.1,16.2,19.5,22.6,24.7,25.4,25.2,24.0,21.1,18.0,14.2,19.8,1991~2020
14,臺中,13.4,14.2,16.4,20.1,23.1,24.9,25.5,25.3,24.6,22.2,19.0,15.1,20.3,1991~2020
15,阿里山,3.1,4.1,6.1,8.4,10.2,11.6,11.6,11.7,11.0,9.1,7.4,4.6,8.2,1991~2020
16,大武,17.7,18.2,19.6,21.6,23.5,25.0,25.3,25.1,24.3,23.0,21.4,19.0,22.0,1991~2020
17,玉山,-4.0,-3.4,-1.7,0.6,3.0,4.5,4.6,4.6,4.1,2.8,0.7,-2.1,1.1,1991~2020
18,新竹,13.1,13.4,15.2,18.9,22.2,24.9,26.0,25.8,24.4,21.8,18.8,15.1,20.0,1992~2020
19,恆春,18.6,19.0,20.5,22.6,24.5,25.8,26.0,25.6,25.1,24.1,22.5,20.0,22.9,1991~2020
20,成功,16.5,16.9,18.3,20.6,22.8,24.6,25.2,25.0,24.2,22.6,20.4,17.8,21.2,1991~2020
21,蘭嶼,17.0,17.4,18.7,20.7,22.7,24.3,24.6,24.3,23.6,22.3,20.5,18.1,21.2,1991~2020
22,日月潭,11.3,12.1,13.9,16.3,18.5,19.7,20.1,20.0,19.5,17.9,15.7,12.7,16.5,1991~2020
23,臺東,17.1,17.5,19.0,21.3,23.7,25.5,26.2,26.1,25.0,23.2,21.1,18.3,22.0,1991~2020
24,梧棲,13.7,14.0,16.1,19.9,23.2,25.6,26.7,26.4,25.1,22.2,19.3,15.6,20.7,1991~2020
