,地點,一月,二月,三月,四月,五月,六月,七月,八月,九月,十月,十一月,十二月,合計,統計期間
0,淡水,83.1,80.4,92.7,105.9,135.6,155.9,226.9,208.6,171.7,127.5,101.9,84.1,1574.3,1991~2020
1,鞍部,59.0,58.7,78.1,77.2,79.6,85.2,138.4,124.7,96.0,61.5,51.4,46.6,956.4,1994~2020
2,臺北,76.1,79.3,95.1,96.9,113.6,114.8,176.9,182.8,151.7,114.7,93.3,78.6,1373.8,1991~2020
3,竹子湖,91.8,83.0,100.1,100.7,106.4,117.4,171.0,164.7,136.0,112.6,99.7,88.6,1372.0,1994~2020
4,基隆,52.6,57.9,80.6,91.2,111.9,138.4,229.2,208.2,147.4,85.7,65.3,48.5,1316.9,1991~2020
5,彭佳嶼,62.3,62.7,90.8,110.2,143.0,177.9,276.2,253.6,203.6,154.8,94.1,65.9,1695.1,1991~2020
6,花蓮,68.7,67.8,85.7,98.1,124.3,180.9,255.6,228.0,163.1,124.3,93.2,74.2,1563.9,1991~2020
7,蘇澳,60.2,63.6,86.9,96.0,116.6,164.3,247.6,222.1,153.7,93.6,69.8,55.8,1430.2,1991~2020
8,宜蘭,68.2,70.0,93.2,97.9,115.6,155.3,235.2,213.9,151.1,92.8,72.7,63.7,1429.6,1991~2020
9,東吉島,119.0,110.7,149.2,171.5,202.4,215.3,259.8,232.4,229.4,214.5,149.6,121.1,2174.9,1991~2020
10,澎湖,102.9,98.7,131.1,153.1,183.6,211.2,265.3,231.4,214.9,186.4,129.2,111.4,2019.2,1991~2020
11,臺南,177.5,163.4,180.7,178.2,195.8,196.3,208.8,175.4,184.8,201.1,170.6,170.3,2202.9,1991~2020
12,高雄,177.0,176.0,194.7,197.2,207.7,215.0,220.7,189.3,188.6,191.9,166.5,157.2,2281.8,1991~2020
13,嘉義,161.4,139.7,157.9,157.0,175.5,186.6,206.4,182.2,186.2,197.0,158.9,159.2,2068.0,1991~2020
14,臺中,174.0,148.3,152.7,138.2,154.6,160.9,192.7,161.5,173.1,205.9,174.4,174.2,2010.5,1991~2020
15,阿里山,149.2,120.6,138.0,120.9,103.2,108.0,118.1,102.0,105.2,135.6,143.3,148.3,1492.4,1991~2020
16,大武,106.7,103.3,124.7,142.1,168.4,209.4,238.6,207.8,171.4,161.8,132.6,106.9,1873.7,1991~2020
17,玉山,207.0,158.7,151.0,139.4,133.8,135.9,171.3,150.8,158.5,213.6,199.7,197.1,2016.8,1991~2020
18,新竹,106.7,91.0,101.0,111.6,145.4,185.0,240.6,209.7,193.5,190.0,144.8,126.1,1845.4,1992~2020
19,恆春,163.7,161.3,194.3,189.8,193.1,193.2,210.3,182.1,180.1,196.3,174.6,157.7,2196.5,1991~2020
20,成功,69.4,62.2,74.8,88.3,124.4,188.1,237.3,209.8,161.0,140.1,101.4,80.3,1537.1,1991~2020
21,蘭嶼,73.3,73.5,96.9,109.7,127.7,142.4,179.1,158.2,136.7,125.7,81.6,64.3,1369.1,1991~2020
22,日月潭,159.4,136.9,128.5,109.5,109.2,111.3,140.6,125.2,123.6,147.6,160.2,157.0,1609.0,1991~2020
23,臺東,93.7,85.1,102.1,116.8,148.0,210.2,253.2,223.5,173.1,157.3,122.2,98.6,1783.8,1991~2020
24,梧棲,148.2,122.4,143.5,146.8,175.1,191.9,242.5,213.1,208.1,222.6,168.5,160.8,2143.5,1991~2020
