,地點,一月,二月,三月,四月,五月,六月,七月,八月,九月,十月,十一月,十二月,合計,統計期間
0,淡水,5.7,4.5,2.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.2,3.2,15.8,1991~2020
1,鞍部,21.1,17.6,14.3,4.9,0.3,0.0,0.0,0.0,0.0,0.2,2.9,15.0,76.3,1991~2020
2,臺北,2.3,1.5,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.2,1991~2020
3,竹子湖,16.2,13.1,9.0,1.7,0.1,0.0,0.0,0.0,0.0,0.0,1.5,9.2,50.8,1991~2020
4,基隆,1.9,1.2,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,4.4,1991~2020
5,彭佳嶼,3.1,2.1,0.5,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,6.9,1991~2020
6,花蓮,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.4,1991~2020
7,蘇澳,1.8,1.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,3.8,1991~2020
8,宜蘭,2.5,1.7,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,5.7,1991~2020
9,東吉島,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1991~2020
10,澎湖,0.1,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1991~2020
11,臺南,1.5,1.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,3.2,1991~2020
12,高雄,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.5,1991~2020
13,嘉義,4.9,2.3,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,3.6,11.6,1991~2020
14,臺中,3.4,1.8,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.6,7.4,1991~2020
15,阿里山,30.9,28.1,30.4,24.5,12.0,2.7,2.5,2.4,7.1,19.9,25.4,30.5,216.4,1991~2020
16,大武,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1991~2020
17,玉山,31.0,28.3,31.0,30.0,31.0,29.8,31.0,31.0,30.0,31.0,30.0,31.0,365.1,1991~2020
18,新竹,4.5,3.1,0.8,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.6,10.2,1992~2020
19,恆春,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1991~2020
20,成功,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1991~2020
21,蘭嶼,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1991~2020
22,日月潭,8.8,5.9,2.1,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.5,4.8,22.5,1991~2020
23,臺東,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1991~2020
24,梧棲,2.8,1.7,0.4,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.9,6.0,1991~2020
