,地點,一月,二月,三月,四月,五月,六月,七月,八月,九月,十月,十一月,十二月,合計,統計期間
0,淡水,105.9,148.0,153.4,157.6,239.8,257.4,119.8,218.3,290.1,165.8,104.2,112.4,2072.7,1991~2020
1,鞍部,296.7,291.3,246.7,222.3,334.0,341.1,230.9,400.8,724.6,683.6,502.5,422.6,4697.1,1991~2020
2,臺北,93.8,129.4,157.8,151.4,245.2,354.6,214.2,336.5,336.8,162.6,89.3,96.9,2368.5,1991~2020
3,竹子湖,220.0,233.1,193.1,176.5,279.0,310.6,215.7,414.4,662.8,649.7,430.6,358.2,4143.7,1991~2020
4,基隆,327.8,349.8,274.4,211.0,284.1,290.4,119.5,211.4,390.1,377.6,396.9,356.6,3589.6,1991~2020
5,彭佳嶼,115.9,122.2,134.9,130.0,193.8,190.9,109.6,185.9,196.7,124.5,121.9,127.0,1753.3,1991~2020
6,花蓮,57.6,74.7,76.7,76.6,186.9,165.5,198.5,258.8,329.9,350.6,175.1,83.6,2034.5,1991~2020
7,蘇澳,378.6,293.7,193.6,184.3,266.6,229.9,165.8,268.5,450.1,714.1,705.7,584.3,4435.2,1991~2020
8,宜蘭,155.2,147.0,115.2,125.5,222.5,189.6,140.2,243.4,409.6,428.1,335.8,232.2,2744.3,1991~2020
9,東吉島,21.8,28.9,38.4,70.8,117.3,183.9,189.9,243.3,108.2,35.6,32.9,26.1,1097.1,1991~2020
10,澎湖,20.9,38.1,50.7,77.9,117.8,148.0,163.2,229.4,100.3,30.1,26.0,28.1,1030.5,1991~2020
11,臺南,20.9,23.7,31.1,69.1,160.1,369.5,353.5,478.9,167.6,24.6,26.9,15.6,1741.5,1991~2020
12,高雄,19.1,17.7,32.3,68.4,202.2,416.2,377.2,512.4,224.5,53.4,25.6,19.2,1968.2,1991~2020
13,嘉義,27.5,44.9,53.0,86.6,170.0,318.6,387.4,443.8,212.3,30.2,21.5,25.8,1821.6,1991~2020
14,臺中,36.6,63.0,86.9,126.8,249.6,329.0,303.3,340.8,147.5,25.0,23.8,30.5,1762.8,1991~2020
15,阿里山,86.8,109.9,146.6,223.9,510.4,674.7,694.7,813.1,402.7,141.2,66.9,69.7,3940.6,1991~2020
16,大武,42.5,44.3,42.8,72.4,174.7,367.5,388.1,458.2,391.4,203.3,92.9,46.4,2324.5,1991~2020
17,玉山,83.7,67.2,94.8,201.2,423.6,459.6,434.2,516.0,297.2,145.1,98.3,81.6,2902.5,1991~2020
18,新竹,75.7,123.0,159.8,161.9,249.0,252.0,120.2,197.1,174.5,53.6,51.1,57.7,1675.6,1992~2020
19,恆春,21.8,23.2,16.0,35.2,146.6,350.7,391.3,533.4,320.3,125.3,58.3,29.0,2051.1,1991~2020
20,成功,67.3,70.1,70.1,88.3,159.8,170.8,245.5,342.2,329.3,283.1,153.3,87.2,2067.0,1991~2020
21,蘭嶼,249.9,190.7,135.2,142.9,247.2,245.8,252.0,328.8,361.1,299.0,282.6,243.5,2978.7,1991~2020
22,日月潭,56.7,72.0,103.1,174.6,354.6,441.6,394.5,422.9,192.1,50.3,38.4,42.2,2343.0,1991~2020
23,臺東,33.1,40.7,36.5,64.8,138.3,201.9,250.2,316.4,295.6,215.0,99.3,45.8,1737.6,1991~2020
24,梧棲,32.0,60.4,81.5,106.7,202.2,208.1,183.5,242.3,91.0,20.3,23.1,33.1,1284.2,1991~2020
