,地點,一月,二月,三月,四月,五月,六月,七月,八月,九月,十月,十一月,十二月,合計,統計期間
0,淡水,13.9,13.8,15.2,13.6,12.6,12.2,8.3,10.9,11.8,12.3,12.4,12.5,149.5,1991~2020
1,鞍部,21.2,18.3,18.3,15.8,15.6,14.3,9.7,13.1,16.3,20.1,20.9,21.4,205.0,1991~2020
2,臺北,13.6,12.0,14.1,14.5,14.5,15.7,11.8,14.6,13.8,12.8,12.5,13.1,163.0,1991~2020
3,竹子湖,18.9,16.3,16.3,13.8,14.0,14.1,9.6,13.3,15.4,18.9,19.6,19.3,189.5,1991~2020
4,基隆,19.6,17.9,18.7,16.0,16.1,14.8,8.5,11.6,15.2,17.1,18.6,19.5,193.6,1991~2020
5,彭佳嶼,16.3,15.4,17.0,13.8,13.2,11.5,6.2,9.7,11.1,11.1,14.4,14.9,154.6,1991~2020
6,花蓮,13.4,14.2,14.2,14.1,15.8,11.6,8.2,10.4,13.2,12.5,12.4,11.2,151.2,1991~2020
7,蘇澳,20.1,19.2,18.4,16.8,19.3,14.7,9.5,11.5,16.1,20.3,20.7,21.5,208.1,1991~2020
8,宜蘭,17.5,15.5,16.8,15.0,17.9,14.5,8.9,11.7,15.2,18.5,19.5,18.5,189.5,1991~2020
9,東吉島,4.2,4.0,4.9,6.8,7.9,9.8,9.2,10.0,5.6,1.8,2.6,2.6,69.4,1991~2020
10,澎湖,5.2,6.2,7.6,8.7,9.3,10.2,8.1,9.4,5.6,2.4,3.6,4.8,81.1,1991~2020
11,臺南,3.9,4.2,4.3,5.7,9.0,12.2,12.5,15.8,8.0,2.4,2.6,2.7,83.3,1991~2020
12,高雄,3.2,3.2,3.6,5.4,9.2,12.9,13.2,16.7,10.1,4.2,2.8,2.8,87.3,1991~2020
13,嘉義,5.1,5.5,6.8,8.1,10.4,13.8,15.3,17.9,9.4,2.9,3.3,4.1,102.6,1991~2020
14,臺中,6.6,8.0,10.1,10.8,12.3,14.1,13.5,15.8,8.5,3.0,4.1,5.3,112.1,1991~2020
15,阿里山,7.9,8.3,9.8,12.5,19.3,19.7,21.0,22.6,16.8,9.2,6.6,7.4,161.1,1991~2020
16,大武,10.9,10.8,10.5,11.0,13.1,13.3,12.8,14.8,15.6,13.1,9.8,9.9,145.6,1991~2020
17,玉山,6.8,6.9,7.8,13.1,18.7,18.0,18.1,18.4,14.4,10.1,8.2,6.5,147.0,1991~2020
18,新竹,9.8,11.3,13.5,12.7,12.0,10.6,7.9,10.7,8.9,5.5,6.8,8.0,117.7,1992~2020
19,恆春,5.1,5.0,3.2,4.3,9.4,15.0,15.8,17.5,13.5,8.6,4.7,4.0,106.1,1991~2020
20,成功,15.0,15.0,15.5,14.6,16.9,12.1,9.8,11.8,15.2,15.6,14.5,14.1,170.1,1991~2020
21,蘭嶼,22.0,18.4,16.1,14.3,15.1,13.7,14.9,16.9,18.4,18.2,19.9,21.7,209.6,1991~2020
22,日月潭,7.9,8.2,10.6,13.4,18.3,20.0,18.3,19.0,12.0,5.9,5.3,6.4,145.3,1991~2020
23,臺東,8.4,9.1,9.3,10.9,14.4,11.5,10.1,11.7,12.8,9.9,8.6,8.4,125.1,1991~2020
24,梧棲,5.4,7.0,9.3,9.4,10.2,10.9,9.0,10.9,6.0,2.4,3.3,4.6,88.4,1991~2020
