,地點,一月,二月,三月,四月,五月,六月,七月,八月,九月,十月,十一月,十二月,平均,統計期間
0,淡水,80.8,82.4,81.0,79.9,79.2,79.9,75.0,76.0,76.1,77.8,78.5,79.0,78.8,1991~2020
1,鞍部,92.1,91.5,89.8,88.4,87.5,87.8,85.8,87.5,89.0,91.0,92.0,92.2,89.6,1991~2020
2,臺北,77.2,77.8,76.1,74.9,74.7,75.3,70.2,72.1,73.9,74.4,75.0,75.9,74.8,1991~2020
3,竹子湖,88.4,88.1,86.9,85.4,84.6,85.4,82.5,83.8,84.6,87.0,88.0,88.3,86.1,1991~2020
4,基隆,78.5,79.5,79.0,77.4,77.4,76.9,71.9,73.6,75.3,75.6,77.1,76.6,76.6,1991~2020
5,彭佳嶼,77.6,79.4,80.6,82.0,84.6,87.5,85.6,85.1,82.5,77.0,77.9,76.1,81.3,1991~2020
6,花蓮,75.6,76.9,77.4,78.9,80.2,80.4,77.1,78.0,77.8,75.2,75.7,74.0,77.3,1991~2020
7,蘇澳,79.7,80.8,79.5,80.3,81.8,80.8,76.2,77.3,78.0,79.3,82.2,80.6,79.7,1991~2020
8,宜蘭,80.3,81.1,79.6,80.8,82.6,81.9,77.9,79.0,79.5,80.7,83.0,81.4,80.7,1991~2020
9,東吉島,78.0,79.4,78.7,80.0,81.8,83.9,82.1,83.3,81.0,77.2,77.3,76.7,80.0,1991~2020
10,澎湖,78.7,80.7,80.0,80.9,82.8,85.2,83.6,84.4,79.6,75.2,76.8,76.8,80.4,1991~2020
11,臺南,75.0,75.5,73.8,74.6,75.3,77.2,76.1,78.3,75.2,72.8,74.5,73.7,75.2,1991~2020
12,高雄,71.6,71.8,71.9,74.2,76.6,79.0,78.0,79.9,77.5,74.2,73.1,71.6,75.0,1991~2020
13,嘉義,77.9,79.3,79.3,79.8,79.9,77.5,77.2,80.1,80.1,78.9,78.7,76.8,78.8,1991~2020
14,臺中,74.4,75.2,74.6,75.1,75.7,76.2,74.9,77.4,74.3,70.8,72.4,72.6,74.5,1991~2020
15,阿里山,80.6,83.4,81.4,84.0,89.2,89.5,91.1,92.2,91.3,86.9,82.4,80.6,86.1,1991~2020
16,大武,70.9,72.5,72.9,74.6,77.0,76.7,76.9,78.3,77.3,72.2,70.7,69.2,74.1,1991~2020
17,玉山,62.3,70.7,76.2,80.0,81.5,80.8,77.7,81.0,77.4,66.4,65.9,63.1,73.6,1991~2020
18,新竹,78.3,80.4,79.6,78.4,78.1,77.0,74.3,75.9,74.5,73.8,75.5,76.3,76.8,1992~2020
19,恆春,70.8,72.0,71.8,73.4,76.1,81.1,80.5,82.2,77.7,71.4,70.5,69.2,74.7,1991~2020
20,成功,74.7,76.5,77.7,79.5,81.5,82.2,79.7,79.8,78.5,74.3,75.2,73.9,77.8,1991~2020
21,蘭嶼,85.6,86.6,86.4,88.2,89.0,90.2,89.4,89.5,88.6,85.8,86.4,85.3,87.6,1991~2020
22,日月潭,76.9,78.4,80.4,82.3,84.4,85.1,84.5,85.5,84.1,81.9,79.2,77.3,81.7,1991~2020
23,臺東,71.5,72.9,73.3,75.2,77.3,77.3,76.0,76.6,76.3,72.6,72.1,70.7,74.3,1991~2020
24,梧棲,78.4,79.9,77.9,77.6,78.5,78.2,76.2,77.4,75.9,73.8,76.1,76.0,77.2,1991~2020
