,地點,一月,二月,三月,四月,五月,六月,七月,八月,九月,十月,十一月,十二月,平均,統計期間
0,淡水,1018.9,1017.6,1015.1,1011.6,1007.7,1004.9,1004.0,1003.5,1007.0,1012.6,1015.8,1018.9,1011.5,1991~2020
1,鞍部,925.6,924.7,923.1,921.1,918.7,916.8,916.4,915.8,918.5,922.5,924.7,926.1,921.2,1991~2020
2,臺北,1019.6,1018.3,1015.7,1012.3,1008.4,1005.3,1004.4,1004.0,1007.6,1013.1,1016.4,1019.3,1012.0,1991~2020
3,竹子湖,950.1,949.1,947.3,944.9,942.1,940.0,939.6,939.0,941.9,946.2,948.7,950.5,945.0,1991~2020
4,基隆,1018.0,1016.7,1014.2,1010.8,1006.9,1003.8,1003.1,1002.6,1006.3,1011.8,1015.1,1018.0,1010.6,1991~2020
5,彭佳嶼,1009.4,1008.1,1005.7,1002.5,998.9,995.9,995.2,994.7,998.2,1003.5,1006.8,1009.5,1002.4,1991~2020
6,花蓮,1018.1,1017.0,1014.8,1011.7,1008.1,1005.2,1004.7,1003.9,1007.2,1012.3,1015.7,1018.2,1011.4,1991~2020
7,蘇澳,1018.0,1016.8,1014.4,1011.1,1007.4,1004.4,1003.8,1003.2,1006.7,1012.1,1015.5,1018.1,1011.0,1991~2020
8,宜蘭,1020.2,1018.9,1016.5,1013.1,1009.4,1006.3,1005.7,1005.2,1008.7,1014.1,1017.5,1020.3,1013.0,1991~2020
9,東吉島,1013.9,1013.0,1010.9,1008.2,1005.0,1002.7,1001.9,1001.1,1003.7,1007.8,1010.9,1013.5,1007.7,1991~2020
10,澎湖,1018.5,1017.5,1015.2,1012.2,1008.7,1006.4,1005.6,1004.8,1007.6,1012.1,1015.4,1018.2,1011.9,1991~2020
11,臺南,1016.4,1015.4,1013.5,1010.7,1007.4,1005.2,1004.5,1003.5,1006.0,1010.1,1013.3,1015.8,1010.2,1991~2020
12,高雄,1018.0,1017.1,1015.1,1012.5,1009.3,1007.4,1006.5,1005.7,1008.0,1012.1,1015.2,1017.7,1012.1,1991~2020
13,嘉義,1015.7,1014.7,1012.6,1009.8,1006.5,1004.3,1003.5,1002.7,1005.1,1009.4,1012.6,1015.2,1009.3,1991~2020
14,臺中,1008.9,1008.0,1005.9,1003.2,999.9,997.8,996.9,996.2,998.6,1002.9,1006.0,1008.6,1002.7,1991~2020
15,阿里山,765.3,765.2,765.2,765.0,764.1,763.6,763.3,762.5,763.8,765.6,766.6,766.2,764.7,1991~2020
16,大武,1017.9,1017.1,1015.0,1012.2,1008.8,1006.3,1005.6,1004.9,1007.7,1012.2,1015.5,1017.8,1011.8,1991~2020
17,玉山,641.1,641.1,641.9,642.7,642.9,643.1,643.1,642.4,643.3,644.4,644.3,642.6,642.7,1991~2020
18,新竹,1016.9,1015.8,1013.5,1010.2,1006.4,1003.8,1003.0,1002.4,1005.5,1010.5,1013.7,1016.6,1009.9,1992~2020
19,恆春,1015.3,1014.6,1012.7,1010.2,1007.1,1005.2,1004.3,1003.6,1005.8,1009.8,1012.7,1015.0,1009.7,1991~2020
20,成功,1015.0,1014.1,1012.0,1009.0,1005.5,1002.8,1002.2,1001.5,1004.5,1009.3,1012.6,1015.1,1008.6,1991~2020
21,蘭嶼,980.7,980.1,978.6,976.3,973.3,971.4,970.7,969.9,972.2,975.8,978.6,980.5,975.7,1991~2020
22,日月潭,905.1,904.5,903.4,902.0,900.0,898.7,898.1,897.3,899.2,902.2,904.2,905.3,901.7,1991~2020
23,臺東,1018.3,1017.3,1015.2,1012.3,1008.8,1006.1,1005.5,1004.8,1007.8,1012.5,1015.8,1018.2,1011.9,1991~2020
24,梧棲,1016.5,1015.5,1013.3,1010.3,1006.9,1004.5,1003.6,1002.9,1005.5,1010.0,1013.2,1016.1,1009.9,1991~2020
