,地點,一月,二月,三月,四月,五月,六月,七月,八月,九月,十月,十一月,十二月,合計,統計期間
0,淡水,0.0,0.0,0.1,3.1,16.0,25.9,30.8,30.7,24.4,8.6,2.1,0.0,141.7,1991~2020
1,鞍部,0.0,0.0,0.0,0.0,0.0,0.2,1.3,0.6,0.1,0.0,0.0,0.0,2.2,1991~2020
2,臺北,0.0,0.0,0.8,8.1,19.7,27.8,31.0,31.0,27.4,12.6,3.6,0.0,162.0,1991~2020
3,竹子湖,0.0,0.0,0.0,0.0,1.1,7.2,17.0,13.3,3.9,0.2,0.0,0.0,42.7,1991~2020
4,基隆,0.0,0.0,0.0,3.9,15.4,26.3,31.0,31.0,26.7,9.9,1.7,0.0,145.9,1991~2020
5,彭佳嶼,0.0,0.0,0.0,0.7,8.4,23.3,30.8,30.8,25.7,7.6,0.4,0.0,127.7,1991~2020
6,花蓮,0.0,0.0,0.5,6.5,18.5,27.8,30.8,30.9,27.2,14.8,3.0,0.0,160.0,1991~2020
7,蘇澳,0.0,0.0,0.2,4.3,14.7,26.5,31.0,31.0,26.7,10.0,2.0,0.0,146.4,1991~2020
8,宜蘭,0.0,0.0,0.2,4.3,15.3,26.8,31.0,30.9,26.0,9.1,1.7,0.0,145.3,1991~2020
9,東吉島,0.0,0.1,0.8,8.3,24.1,29.4,31.0,30.9,29.7,21.0,4.1,0.1,179.5,1991~2020
10,澎湖,0.0,0.0,0.4,7.9,22.9,29.3,31.0,31.0,29.5,20.2,3.1,0.0,175.3,1991~2020
11,臺南,0.0,0.6,3.9,17.2,28.8,29.4,30.9,30.8,29.7,24.6,7.8,0.4,204.1,1991~2020
12,高雄,0.2,1.4,7.7,20.7,29.7,29.6,31.0,30.8,29.8,28.8,13.1,1.0,223.8,1991~2020
13,嘉義,0.0,0.2,1.5,10.3,24.0,29.1,30.9,30.8,28.5,15.6,2.6,0.0,173.5,1991~2020
14,臺中,0.0,0.1,1.6,10.8,24.4,28.2,30.7,30.5,29.2,19.7,4.4,0.0,179.6,1991~2020
15,阿里山,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1991~2020
16,大武,0.2,0.8,4.1,13.9,25.0,28.5,30.7,30.7,28.9,24.7,9.9,0.7,198.1,1991~2020
17,玉山,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1991~2020
18,新竹,0.0,0.0,0.3,5.0,17.8,27.5,31.0,30.9,26.8,11.9,2.1,0.0,153.3,1992~2020
19,恆春,0.2,1.3,8.3,19.3,28.7,29.5,30.9,30.9,29.5,27.5,13.8,1.9,221.8,1991~2020
20,成功,0.0,0.1,1.6,8.0,20.1,28.2,30.8,30.6,28.2,17.7,3.5,0.1,168.9,1991~2020
21,蘭嶼,0.0,0.0,0.0,1.6,12.3,24.5,28.6,27.6,19.7,5.3,0.3,0.0,119.9,1991~2020
22,日月潭,0.0,0.0,0.0,0.0,0.0,0.2,0.6,0.2,0.3,0.1,0.0,0.0,1.4,1991~2020
23,臺東,0.1,0.4,3.5,12.4,23.9,28.8,30.7,30.6,28.9,21.9,7.1,0.6,188.9,1991~2020
24,梧棲,0.0,0.1,0.6,7.7,21.0,28.7,30.8,30.8,28.5,13.3,1.7,0.0,163.2,1991~2020
