,地點,一月,二月,三月,四月,五月,六月,七月,八月,九月,十月,十一月,十二月,合計,統計期間
0,淡水,0.0,0.0,0.3,2.5,13.0,23.0,29.7,28.6,19.9,6.1,1.1,0.0,124.2,1991~2020
1,鞍部,0.0,0.0,0.0,0.0,0.0,0.2,1.2,0.8,0.3,0.0,0.0,0.0,2.5,1991~2020
2,臺北,0.0,0.4,1.8,8.9,16.8,24.8,30.5,29.8,21.6,7.8,3.3,0.2,145.9,1991~2020
3,竹子湖,0.0,0.0,0.0,0.1,1.3,6.0,16.0,14.2,4.6,0.3,0.0,0.0,42.5,1991~2020
4,基隆,0.0,0.1,0.4,2.8,10.3,21.6,29.7,28.1,14.0,2.8,0.8,0.0,110.6,1991~2020
5,彭佳嶼,0.0,0.0,0.0,0.1,2.7,14.9,26.0,24.7,9.2,0.6,0.0,0.0,78.2,1991~2020
6,花蓮,0.0,0.0,0.0,2.6,11.5,22.5,29.2,28.6,21.6,7.2,0.3,0.0,123.5,1991~2020
7,蘇澳,0.0,0.0,0.1,1.8,6.5,19.3,28.8,28.1,15.0,2.2,0.3,0.0,102.1,1991~2020
8,宜蘭,0.0,0.0,0.3,3.0,11.4,23.0,29.7,29.1,20.1,5.3,0.5,0.0,122.4,1991~2020
9,東吉島,0.0,0.0,0.1,0.8,6.3,15.6,24.6,22.4,16.0,2.5,0.1,0.0,88.4,1991~2020
10,澎湖,0.0,0.0,0.1,2.8,11.3,21.7,28.1,26.4,22.9,5.8,0.3,0.0,119.4,1991~2020
11,臺南,0.0,0.8,3.7,14.9,25.3,26.3,29.0,27.6,28.1,23.6,6.5,0.4,186.2,1991~2020
12,高雄,0.0,0.5,3.4,13.0,24.2,26.4,28.9,27.2,27.6,17.9,4.3,0.3,173.7,1991~2020
13,嘉義,0.3,1.0,3.7,11.1,22.7,26.5,29.2,28.2,26.3,17.7,5.9,0.8,173.4,1991~2020
14,臺中,0.1,0.7,3.0,9.9,20.8,25.6,29.4,28.3,27.1,19.5,6.1,0.4,170.9,1991~2020
15,阿里山,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1991~2020
16,大武,0.3,0.8,2.9,10.1,19.1,25.2,28.5,27.5,24.3,12.3,2.1,0.2,153.3,1991~2020
17,玉山,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1991~2020
18,新竹,0.0,0.1,0.3,2.6,12.3,24.0,30.3,29.0,21.9,7.5,1.6,0.0,129.6,1992~2020
19,恆春,0.2,0.6,5.3,14.6,24.2,26.0,28.1,26.3,24.5,13.8,4.6,0.4,168.6,1991~2020
20,成功,0.0,0.0,0.3,3.3,12.5,21.7,27.8,27.1,22.7,9.2,1.0,0.0,125.6,1991~2020
21,蘭嶼,0.0,0.0,0.0,0.1,0.5,2.8,4.2,4.4,1.5,0.0,0.0,0.0,13.5,1991~2020
22,日月潭,0.0,0.0,0.1,0.6,1.4,3.3,4.9,3.3,2.0,0.6,0.1,0.0,16.3,1991~2020
23,臺東,0.1,0.2,1.2,7.8,18.4,25.3,28.8,28.1,24.5,13.2,1.9,0.0,149.5,1991~2020
24,梧棲,0.0,0.1,0.4,2.4,11.5,23.1,29.7,28.4,22.4,5.2,0.2,0.0,123.4,1991~2020
