,地點,一月,二月,三月,四月,五月,六月,七月,八月,九月,十月,十一月,十二月,平均,統計期間
0,淡水,2.1,2.0,2.0,1.8,1.7,1.5,1.8,1.7,1.8,1.9,2.0,2.1,1.9,1991~2020
1,鞍部,3.3,3.1,2.9,2.7,2.4,2.3,2.8,3.0,3.5,3.4,3.4,3.4,3.0,1991~2020
2,臺北,2.7,2.5,2.6,2.5,2.4,1.9,2.1,2.2,2.7,3.0,3.1,2.9,2.6,1991~2020
3,竹子湖,2.8,2.5,2.1,1.8,1.4,1.2,1.1,1.2,1.6,2.3,2.5,2.7,1.9,1991~2020
4,基隆,3.5,3.2,2.8,2.5,2.3,2.2,2.6,2.7,3.1,3.7,3.5,3.7,3.0,1991~2020
5,彭佳嶼,8.1,7.9,7.2,6.7,6.1,6.0,6.9,6.5,7.0,8.0,8.1,8.3,7.2,1991~2020
6,花蓮,2.9,2.9,2.8,2.7,2.4,2.6,2.8,2.6,2.7,3.0,3.0,3.2,2.8,1991~2020
7,蘇澳,2.9,2.8,2.6,2.3,2.1,2.1,2.8,2.8,2.8,3.0,2.7,2.9,2.7,1991~2020
8,宜蘭,1.7,1.6,1.7,1.6,1.6,1.6,2.1,2.0,2.1,2.0,1.7,1.7,1.8,1991~2020
9,東吉島,10.8,9.7,8.1,6.5,5.3,5.5,5.2,5.0,6.3,9.9,10.3,11.4,7.8,1991~2020
10,澎湖,5.3,4.9,4.2,3.4,3.0,2.9,2.6,2.7,3.6,5.4,5.3,5.8,4.1,1991~2020
11,臺南,3.7,3.5,3.1,2.8,2.6,3.0,2.9,2.9,2.7,2.8,3.0,3.5,3.0,1991~2020
12,高雄,2.2,2.2,2.1,2.1,2.0,2.2,2.4,2.3,2.2,1.9,1.9,2.1,2.1,1991~2020
13,嘉義,2.3,2.2,2.1,1.9,1.9,2.3,2.3,2.0,1.8,1.7,1.7,2.1,2.0,1991~2020
14,臺中,1.6,1.6,1.5,1.4,1.4,1.5,1.6,1.4,1.4,1.6,1.5,1.6,1.5,1991~2020
15,阿里山,1.2,1.4,1.4,1.3,1.2,1.3,1.2,1.2,1.1,1.0,1.0,1.2,1.2,1991~2020
16,大武,2.8,2.6,2.4,2.2,1.9,1.9,2.0,1.9,2.2,2.9,3.2,3.2,2.4,1991~2020
17,玉山,6.5,6.5,5.7,5.1,4.8,5.2,5.0,4.8,4.6,4.3,5.1,6.0,5.3,1991~2020
18,新竹,3.0,2.8,2.4,2.1,1.8,2.0,1.9,1.8,2.4,3.4,3.2,3.4,2.5,1992~2020
19,恆春,4.3,3.9,3.6,3.1,2.6,2.4,2.6,2.4,2.9,4.2,4.8,5.0,3.5,1991~2020
20,成功,3.8,3.5,3.2,2.9,2.6,2.3,2.5,2.5,3.2,4.2,4.1,4.2,3.3,1991~2020
21,蘭嶼,7.3,7.1,6.8,6.9,7.2,8.7,7.9,7.5,6.8,7.7,7.8,7.7,7.5,1991~2020
22,日月潭,1.1,1.1,1.1,1.1,1.1,1.2,1.2,1.2,1.1,1.0,1.0,1.0,1.1,1991~2020
23,臺東,1.8,1.8,1.8,1.7,1.6,1.6,1.6,1.6,1.7,2.0,1.9,1.9,1.8,1991~2020
24,梧棲,6.1,5.7,4.9,4.1,3.6,3.8,3.7,3.4,4.2,5.8,5.6,6.2,4.8,1991~2020
