,地點,一月,二月,三月,四月,五月,六月,七月,八月,九月,十月,十一月,十二月,平均,統計期間
0,大阪,9.5,10.2,13.7,19.9,24.5,27.8,31.6,33.4,29.3,23.3,17.6,12.3,21.1,1981~2010
1,巴黎,6.9,8.2,11.8,14.7,19.0,21.8,24.4,24.6,20.8,15.8,10.4,7.8,15.5,1971~2000
2,日內瓦,3.7,5.9,9.8,13.9,18.4,22.2,25.3,24.4,20.8,14.9,8.4,4.5,14.4,1961~1990
3,加德滿都,18.0,20.2,24.3,27.4,28.2,28.3,27.7,28.0,27.2,25.8,22.7,19.4,24.8,.
4,布里斯班,29.2,29.0,28.1,26.3,23.6,21.2,20.6,21.7,23.9,25.6,27.3,28.7,25.4,1961~1990
5,布宜諾斯艾利斯,30.4,28.7,26.4,22.7,19.0,15.6,14.9,17.3,18.9,22.5,25.3,28.1,22.5,1961~1990
6,布拉格,0.4,2.7,7.7,13.3,18.3,21.4,23.3,23.0,19.0,13.1,6.0,2.0,12.5,1961~1990
7,布達佩斯,1.2,4.5,10.2,16.3,21.4,24.4,26.5,26.0,22.1,16.1,8.1,3.1,15.0,1961~1990
8,布魯塞爾,5.6,6.4,9.9,13.1,17.7,20.0,22.4,22.5,18.7,14.4,9.1,6.5,13.9,1971~2000
9,吉隆坡,31.9,32.8,33.1,33.0,32.8,32.5,32.1,32.2,31.9,31.8,31.4,31.5,32.3,1961~1990
10,多倫多,-1.1,-0.2,4.6,11.3,18.5,23.5,26.4,25.3,20.7,13.8,7.4,1.8,12.7,1971~2000
11,西雅圖,8.4,9.9,12.1,14.7,18.2,21.1,24.3,24.6,21.4,15.4,10.5,7.6,15.7,1981~2010
12,伯力,-16.9,-12.4,-2.3,9.7,17.9,23.5,26.4,24.2,18.4,9.3,-3.5,-14.1,6.7,.
13,伯斯,30.8,31.3,29.5,25.6,22.4,19.3,18.3,18.8,20.1,23.0,26.4,28.8,24.5,1994~2010
14,里斯本,14.5,15.6,17.6,19.1,21.7,24.8,27.4,27.9,26.4,22.4,17.8,14.8,20.8,1961~1990
15,拉斯維加斯,14.4,16.9,21.3,25.7,31.6,37.1,40.1,38.9,34.4,27.0,19.1,13.7,26.7,1981~2010
16,東京,9.9,10.4,13.3,18.8,22.8,25.5,29.4,31.1,27.2,21.8,16.9,12.4,20.0,1981~2010
17,河內,19.3,19.9,22.8,27.0,31.5,32.6,32.9,31.9,30.9,28.6,25.2,21.8,27.0,1898~1990
18,法蘭克福,4.0,5.6,10.4,14.5,19.5,22.3,24.8,24.8,20.1,14.0,7.7,5.0,14.4,1971~2000
19,芝加哥,-0.6,1.8,8.1,15.0,21.1,26.5,28.9,27.7,23.8,16.8,9.0,1.6,15.0,1981~2010
20,阿姆斯特丹,5.4,6.0,9.2,12.4,17.1,19.2,21.4,21.8,18.4,14.1,9.2,6.5,13.4,1971~2000
21,威尼斯,6.6,8.6,12.5,16.1,21.5,24.9,27.7,27.5,23.5,18.0,11.6,7.4,17.2,1971~2000
22,威靈頓,21.3,21.1,19.8,17.3,14.8,12.8,12.0,12.7,14.2,15.9,17.8,19.6,16.6,1961~1990
23,柏林,2.9,4.2,8.5,13.2,18.9,21.6,23.7,23.6,18.8,13.4,7.1,4.4,13.4,1971~2000
24,洛杉磯,20.1,20.3,21.2,22.6,23.6,25.6,28.4,29.1,28.4,25.8,22.7,19.8,24.0,1981~2010
25,胡志明市,31.6,32.9,33.9,34.6,34.0,32.4,32.0,31.8,31.3,31.2,31.0,30.8,32.3,1906~1990
26,首爾,0.8,3.3,9.5,17.3,22.9,26.6,28.5,29.5,25.5,19.7,11.2,3.7,16.5,1961~1990
27,倫敦,8.1,8.6,11.6,14.6,18.1,21.0,23.4,23.1,20.0,15.5,11.3,8.4,15.3,1981~2010
28,哥本哈根,2.0,2.0,5.0,10.0,15.0,19.0,20.0,20.0,17.0,12.0,7.0,4.0,11.1,1961~1990
29,海參威,-8.8,-5.9,1.7,9.1,14.7,17.0,21.0,23.0,19.1,12.4,2.8,-5.5,8.4,.
30,紐約,3.5,5.3,9.8,16.2,21.6,26.3,28.9,28.1,24.0,17.7,12.1,6.1,16.6,1981~2010
31,馬尼拉,29.5,30.5,32.1,33.5,33.2,32.2,31.1,30.6,30.9,30.9,30.7,29.7,31.2,1971~2000
32,馬德里,9.7,12.0,15.7,17.5,21.4,26.9,31.2,30.7,26.0,19.0,13.4,10.1,19.5,1971~2000
33,曼谷,32.0,32.7,33.7,34.9,34.0,33.1,32.7,32.5,32.3,32.0,31.6,31.3,32.7,1961~1990
34,莫斯科,-6.3,-4.2,1.5,10.4,18.4,21.7,23.1,21.5,15.4,8.2,1.1,-3.5,8.9,.
35,雪梨,26.5,26.5,25.4,23.3,20.6,18.0,17.4,18.9,21.2,22.8,23.8,25.5,22.5,1981~2010
36,斯德哥爾摩,-1.0,-1.0,3.0,9.0,16.0,21.0,22.0,20.0,15.0,10.0,5.0,1.0,10.0,1961~1990
37,華沙,0.4,1.9,6.8,13.1,19.3,21.9,23.6,23.4,17.9,12.3,5.5,1.9,12.3,1971~2000
38,開羅,18.8,20.5,23.4,28.4,32.0,34.2,34.4,33.9,32.6,29.6,24.7,20.2,27.7,1961~1990
39,雅加達,29.9,30.3,31.5,32.5,32.5,31.4,32.3,32.0,33.0,32.7,31.3,32.0,31.8,.
40,雅典,12.5,13.5,15.7,20.2,26.0,31.1,33.5,33.2,29.2,23.3,18.1,14.1,22.5,1955~1997
41,奧克蘭,23.3,23.6,22.5,19.8,17.0,14.8,14.0,14.8,16.0,17.6,19.6,21.6,18.7,1961~1990
42,奧斯陸,-1.8,-0.9,3.5,9.1,15.8,20.4,21.5,20.1,15.1,9.3,3.2,-0.5,9.6,1961~1990
43,新加坡,29.9,31.0,31.4,31.7,31.6,31.2,30.8,30.8,30.7,31.1,30.5,29.6,30.9,.
44,新德里,21.0,23.5,29.2,36.0,39.2,38.8,34.7,33.6,34.2,33.0,28.3,22.9,31.2,1971~1990
45,溫哥華,6.1,8.0,10.1,13.1,16.5,19.2,21.7,21.9,18.7,13.5,9.0,6.2,13.7,1971~2000
46,維也納,2.9,5.1,10.3,15.2,20.5,23.4,25.6,25.4,20.3,14.2,7.5,4.0,14.5,1971~2000
47,墨西哥城,21.2,22.9,25.7,26.6,26.5,24.6,23.0,23.3,22.3,22.2,21.8,20.8,23.4,1951~1980
48,墨爾本,26.3,26.6,24.4,21.0,17.5,14.8,14.2,15.7,17.7,20.1,22.6,24.4,20.4,1981~2010
49,檀香山,26.7,26.8,27.3,28.2,29.2,30.6,31.1,31.5,31.4,30.4,28.8,27.3,29.1,1981~2010
50,邁阿密,23.7,24.3,25.1,26.6,28.2,30.1,31.3,31.3,30.5,28.7,26.4,24.4,27.6,1981~2010
51,舊金山,13.8,15.7,16.6,17.3,17.9,19.1,19.2,20.1,21.2,20.7,17.3,13.9,17.7,1981~2010
52,羅馬,11.9,13.0,15.2,17.7,22.8,26.9,30.3,30.6,26.5,21.4,15.9,12.6,20.4,1971~2000
